NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;218.158710;219.412389;20000;100
2;109.912699;211.420546;20000;100
3;73.317767;142.180747;20000;100
4;55.082430;106.643035;20000;100
5;44.139954;85.355169;20000;100
6;36.813012;71.133945;20000;100
7;31.581320;60.972037;20000;100
8;27.704535;53.402552;20000;100
9;47.316738;47.391574;20000;100
10;42.657051;42.702920;20000;100
11;38.826832;38.882741;20000;100
12;35.617101;35.613565;20000;100
13;33.126833;32.917727;20000;100
14;30.549123;30.507414;20000;100
15;28.536623;28.469944;20000;100
16;26.748812;26.707109;20000;100
