NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;0.951782;0.951782;1250;100
2;1.914786;3.597865;2500;100
3;2.874772;5.478913;3750;100
4;3.849105;7.277437;5000;100
5;4.80954;9.172566;6250;100
6;5.775095;10.9406;7500;100
7;6.743649;12.772698;8750;100
8;7.704188;14.649695;10000;100
9;16.403856;16.382495;11250;100
10;18.253426;18.255228;12500;100
11;20.034803;20.048787;13750;100
12;21.875289;21.888314;15000;100
13;23.743068;23.671346;16250;100
14;25.497494;25.510403;17500;100
15;27.284094;27.295811;18750;100
16;29.139811;29.111232;20000;100
